Symbol,Company,Sector
ALY.AX,Alchemy Resources Ltd,Materials
AMA.AX,AMA Group Ltd,Industrials
AMB.AX,Ambition Group Ltd,Industrials
AMC.AX,Amcor Plc,Materials
AMD.AX,Arrow Minerals Ltd,Materials
AME.AX,Alto Metals Ltd,Materials
AMG.AX,Ausmex Mining Group Ltd,Materials
AMH.AX,Amcil Ltd,
AMI.AX,Aurelia Metals Ltd,Materials
AML.AX,Aeon Metals Ltd,Materials
AMN.AX,Agrimin Ltd,Materials
AMO.AX,Ambertech Ltd,Information Technology
AMP.AX,AMP Ltd,Financials
AMS.AX,Atomos Ltd,Consumer Discretionary
AMT.AX,Allegra Orthopaedics Ltd,Health Care
AMX.AX,Aerometrex Ltd,Industrials
ANA.AX,Ansila Energy NL,Energy
ANG.AX,Austin Engineering Ltd,Industrials
ANL.AX,Amani Gold Ltd,Materials
ANN.AX,Ansell Ltd,Health Care
ANO.AX,Advance Nanotek Ltd,Materials
ANP.AX,Antisense Therapeutics Ltd,Health Care
ANR.AX,Anatara Lifesciences Ltd,Health Care
ANS.AX,Austsino Resources Group Ltd,Materials
ANW.AX,Aus Tin Mining Ltd,Materials
ANZ.AX,Australia and New Zealand Banking Group Ltd,Financials
AO1.AX,Assetowl Ltd,Information Technology
AOA.AX,Ausmon Resources Ltd,Materials
AOF.AX,Australian Unity Office Fund,Real Estate
AON.AX,Apollo Minerals Ltd,Materials
AOP.AX,Apollo Consolidated Ltd,Materials
AOU.AX,Auroch Minerals Ltd,Materials
AOW.AX,American Patriot Oil & Gas Ltd,Energy
APA.AX,APA Group,Utilities
APC.AX,Australian Potash Ltd,Materials
APD.AX,Apn Property Group,Financials
APE.AX,AP Eagers Ltd,Consumer Discretionary
APG.AX,Austpac Resources NL,Materials
APH.AX,Australian Primary Hemp Ltd,Health Care
API.AX,Australian Pharmaceutical Industries Ltd,Health Care
APL.AX,Antipodes Global Investment Company Ltd,
APT.AX,Afterpay Ltd,Information Technology
APV.AX,Appsvillage Australia Ltd,Information Technology
APW.AX,Aims Property Securities Fund,Real Estate
APX.AX,Appen Ltd,Information Technology
